id_transacao,transactions
1,pimpolho;unissex;meia;pares;lisa
2,lisa;toalha;rosto
3,fralda;listra;bainha;masc;manga;pimpolho;meia;unid;minasrey;pagao;dengo;conj;ludica;presente;cinzaurso;kadoshinha
4,micol;baby;short;kids;elastico;liso;estampada;algodão
5,juvenil;bermuda;selfie;manga;machao;sergio;modas;prata;curta;italico;short;camisa;mauricinho;moletom;tactel
6,ondas;short;juvenil;estampada;sunga
7,micol;manga;pijama;cuecas;baby;kids;infantil;camisa;longa;estampada;longo;punho
8,calcinha;estampada;luziane
9,july;lisa;malha;calcinha;algodao;kids;luziane;juvenil;estampada
10,lisa;pimpolho;canelada;cinto;regata;calcinha;algodão;manga;blusa;prendedor;rotas;legue;fria;linho;meia;luziane;unico;vystek;estampada;pinkcupcake;malha;short;chupeta;coxa
11,pimpolho;meia;festinha;pares;rosarosa
12,toalhas;desenho
13,durma;baby;doll;stylo
14,sutiã;calcinha;luziane;cokit;juvenil;sport;lisa
15,canelada;regata;blusa;calcinha;estampada;luziane;vystek;lisa
16,nadador;alça;needfeel;lycra
17,fralda;bilu;short;tapa;elastico;liso;camiseta;algodão;bordada
18,lisa;calcinha;luziane;estampada;algodão
19,bilu;bordado;regata;baby;liso;estampado;conjunto;suedine;algodão;flaphy;manga;sued;boys;korte;mijão;camiseta;rekorte;mario;branco;moda;bichinhos;longa;bichinho;riana;pagão;masculina;body;aberto;mijao;carrinhos;malha;mecbee;short;elastico;manta
20,micol;baby;kids;infantil;pijama;longo;punho
21,aberto;micol;manga;meia;baby;kids;camisa;estampado;mijão;estampada
22,body;flaphy;guipir;manga;calcinha;longa;listrado;mayara
23,safari;feminino;feliz;laranja;tecido;kids;vermelho;vestidos;naclefs;majú;maria;vestido;eloyza;moda;penteada;meia;malha;flor;short;fashion;juvenil
24,radar;machao;marands;liso;regata;italico;prata;short;mgrm;camisa;mauricinho;tactel
25,machao;russa;regata;cueca;kids;italicomar;sergio;cordao;dengo;tactel;toalha;fralda;haos;modas;prata;minasrey;mauricinho;estampada;montanha;bermuda;short;leon
26,pimpolho;bojo;tradicional;unissex;matheus;calcinha;cueca;academia;langerie;lili;toalha;sutia;fria;meia;luziane;estampada;malha;pares;lisa
27,cokit;sport;sutiã
28,fralda;dengo;toalha;minasrey
29,juvenil;bermuda;selfie;marands;look;baby;academia;moletom;lisa;toalha
30,polo;marands;gola;camisa
31,indri;lisa;careca;kids;camisa;gola;toalha;rosto
32,baby;micol;camiseta;kids
33,russa;curta;calcinha;cueca;manga;naclefs;blusa;cordao;tactel;haos;moda;fria;luziane;estampada;montanha;bermuda;confecções;malha;italico;short;camisa;fashion;juvenil;lisa
34,body;bordado;sued;korte;regata;bichinho;rekorte
35,dani;laço;faixa
36,matheus;tradicional;cueca
37,curto;zangadinhokauany;macacao
38,malha;blusa;manga;fria
39,pietro;macacao;moda;kikarinho;bebê
40,bermuda;linho;mgrmglupmetamania;cotton;boxer;selene;cueca;kids;lazinho;infantil;mauricinho;diferente
41,confecções;haos;cueca;academia;lisa;toalha
42,july;moda;malha;intima;calcinha;algodao;kids;estampada
43,dani;indri;babado;maxi;machao;nanai;laranja;regata;calcinha;baby;kids;liso;nikko;marinho;flower;luxuosa;algodão;micol;selfie;berlim;vestido;moletom;camiseta;branco;maju;penteada;meia;elian;kamylus;mayara;fofura;bermuda;malha;brandili;laço;faixa;italico;white;short;kyly;camisa;elastico;bege
44,visual;indri;machao;regata;kids;infantil;liso;micol;manga;italicomar;sergio;mijão;moda;linho;modas;prata;mania;mauricinho;longa;diferente;estampada;gola;aberto;bermuda;polo;short;camisa
45,helo;bermuda;machao;sergio;puppydiferente;jeans;modas;regata;calça;kids;moletom
46,pimpolho;festa;meia;rosa;fashion
47,juninho;vermelhoflores;bilu;pimpolho;poliamida;bordado;sortida;unissex;calcinha;baby;liso;algodão;mijão;camiseta;azul;meia;aberto;faixa;lisa;bordada;mimos
48,microfibra;bermuda;selfie;mallbeck;boxer;proteção;regata;italico;cueca;turma;camisa;moletom;estampada
49,jeans;kids;diversas;fran;jaqueta
50,calça;jeans;pantalona;helô
51,nanai;brandili;elian;kamylus;kyly
52,toalhas;desenho
53,feminino;pimpolho;fofinha;meia;calcinha;kids;pares;lisa;tanga
54,moda;naclefs;short;fashion;juvenil
55,lisa;toalha;rosto
56,lisa;moda;fria;malha;naclefs;regata;calcinha;luziane;short;kids;zafirinha;fashion;juvenil;estampada;algodão
57,matheus;cueca;adulto
58,lisa;moda;haos;confecções;bichinhos;cueca;short;elastico;liso;camiseta;algodão
59,academia;lisa;toalha
60,durma;dinda;doll;camiseta;calcinha;baby;luziane;stylo;shorts;lisa;algodão;variados
61,laços;guipir;bordada;calcinha;baby;short;elastico;liso;camiseta;algodão;mayara
62,durma;referencia;doll;estoque;baby;produto;stylo
63,moletom;puppydiferente;kids;bermuda
64,referencia;estoque;produto
65,estampada;cueca;haos
66,baby;micol;camiseta;kids
67,cokit;sport;sutiã
68,intimate;jade;sutiã;kangyadiezi
69,indri;careca;kids;camisa;gola
70,calcinha
71,indri;sutiã;careca;kids;cokit;camisa;sport;gola
72,toalhas;desenho
73,lisa;toalha;rosto
74,cuecas;bojo;langerie;lili;sutia
75,amorarma;calcinha;luziane;juvenil;lisa
76,cokit;sport;sutiã
77,calça;jeans;pantalona;helô
78,visual;moda;naclefs;canelada;regata;calcinha;luziane;kids;mania;short;fashion;juvenil;lisa;algodão
79,fralda;bilu;tapa;camiseta;algodão;bordada
80,pimpolho;unissex;meia;pares;lisa
81,canelada;dinda;regata;blusa;curta;vystek;shorts;lisa;variados;legue
82,macacao;boys;faixa;bernardo;paulina;calcinha;vestido
83,intimate;jade;sutiã;kangyadiezi
84,poliamida;pimpolho;malha;sortida;meia;atoalada;caçulinha;luva;fofurinha;brancalosango;touca
85,pimpolho;colher;unissex;rosa;infantil;silicone
86,sutiã;jade;kangyadiezi;fofinha;intimate;calcinha;kids;luziane;juvenil;lisa;tanga
87,short;elastico;liso;camiseta;algodão;bordada
88,mayara;calcinha;super;luxo
89,moda;naclefs;short;fashion;juvenil
90,visual;moda;naclefs;canelada;regata;kids;short;mania;fashion;juvenil
91,sandalia;bone;oxford;menina;menino;frajolinha;lamayara
92,feminino;kids;conj;natty;hope;vermelho;pentea;conjunto;tylor;vivienne;blusa;love;baloes;folia;shorts;estampada;malha;brandili;rosa
93,pano;simples;boys;travesseiro;tecido;boca;unid;minasrey;retangular;luva;boneca;baby;dengo;manta;mayara;layne
94,lisa;moda;haos;confecções;bichinhos;cueca;short;elastico;liso;camiseta;algodão
95,moda;casaco;touca;frases;pintada;pedrita;bicos;calcinha;baby;patibu;infantil;tricot;camiseta;algodão;sapatinho;bordada
96,soft;poliamida;pimpolho;sortida;baby;liso;estampado;atras;suedine;canelado;denguinho;mijão;toalha;caricia;meia;minasrey;pantufa;ribana;body;aberto;mijao;cbordado;yanai;begecoracao
97,game;vici;vidi;over;pijama;longo
98,bilu;soft;circus;canelada;machao;tradicional;intima;regata;calcinha;baby;kids;tapa;cueca;matheus;navy;conjunto;july;sergio;happy;algodao;vestido;babete;fralda;preto;moda;penteada;fofinha;modas;minasrey;meia;estampada;tanga;malha;rosa
99,pimpolho;masculino;meia;pares;lisa
100,lisa;fria;malha;curta;regata;vystek;estampada;legue
101,toalhas;desenho;calcinha;luziane;estampada
102,toalhas;desenho;blusa;stichbelinha;calcinha;luziane;juvenil;lisa
103,animais;conjunto;kyly
104,prata;sandalia;fase;pimpolho
105,lisa;toalha;rosto
106,vystek;curta;lisa;legue
107,lisa;toalha;rosto
